Word,Coded by Gentle,Picked up by Gentle,Onset Time ,Offset Time,,Word,Coded by Gentle,Picked up by Gentle,Onset Time ,Offset Time
a,a,a,34.459999,34.579999,,are,are,are,34.109999,34.169999
"fashionista,",fashionista,<unk>,34.58,35.56,,on,on,on,34.17,34.43
which,which,which,35.99,36.21,,the,the,the,34.43,34.53
means,means,means,36.209999,36.489999,,"case,",case,case,34.529999,34.829999
that,that,that,36.49,36.63,,"sir,",sir,sir,34.83,35.21
she,she,she,36.63,36.84,,Alex,Alex,alex,35.35,35.66
"really,",really,really,36.84,37.37,,said.,said,said,35.66,35.97
really,really,really,37.38,37.8,,Mr,Mr,mr,36.52,36.83
likes,likes,likes,37.8,38.08,,Hornswoggle,Hornswoggle,<unk>,36.83,37.08
clothes.,clothes,clothes,38.08,38.68,,pulled,pulled,pulled,37.42,37.68
That,That,that,39.43,39.7,,a,a,a,37.67,37.73
"day,",day,day,39.7,40.05,,handkerchief,handkerchief,handkerchief,37.73,38.31
she,she,she,40.06,40.27,,out,out,out,38.36,38.51
wore,wore,wore,40.27,40.48,,of,of,of,38.51,38.64
her,her,her,40.48,40.65,,his,his,his,38.64,38.76
furry,furry,furry,40.65,41.03,,pocket,pocket,pocket,38.76,39.16
pink,pink,pink,41.04,41.3,,and,and,and,39.19,39.37
vest,vest,vest,41.32,41.75,,patted,patted,patted,39.37,39.69
over,over,over,41.96,42.21,,his,his,his,39.69,39.83
a,a,a,42.21,42.27,,forehead.,forehead,forehead,39.83,40.28
green,green,green,42.27,42.62,,I,I,i,41.05,41.21
rainbow,rainbow,rainbow,42.62,42.94,,very,very,very,41.21,41.5
T-shirt,Tshirt,<unk>,43.23,43.53,,much,much,much,41.5,41.72
with,with,with,43.88,44.04,,hope,hope,hope,41.72,41.96
a,a,a,44.04,44.11,,so.,so,so,41.96,42.29
jean,jean,jean,44.11,44.51,,You,You,you,42.63,42.77
skirt,skirt,skirt,44.51,44.91,,"see,",see,see,42.77,43.08
and,and,and,44.98,45.22,,Coco,Coco,coco,43.12,43.45
blue,blue,blue,45.23,45.56,,is,is,is,43.53,43.61
leggings,leggings,<unk>,45.76,46.09,,"gravid,",gravid,<unk>,43.62,44.1
dotted,dotted,dotted,46.099999,46.389999,,and,and,and,44.389999,44.539999
with,with,with,46.389999,46.509999,,so,so,so,44.54,44.66
pink,pink,pink,46.57,46.9,,we,we,we,44.66,44.79
circles.,circles,circles,46.9,47.61,,must,must,must,44.79,45.07
She,She,she,48.84,49.04,,make,make,make,45.07,45.24
had,had,,49.02,49.15,,sure,sure,sure,45.24,45.54
just,just,just,49.12,49.41,,she,she,she,45.54,45.75
come,come,come,49.41,49.54,,returns,returns,returns,45.75,46.21
back,back,back,49.559999,49.759999,,to,to,to,46.21,46.33
to,to,to,49.759999,49.879999,,the,the,the,46.33,46.43
class,class,class,49.88,50.29,,nest,nest,nest,46.429999,46.709999
after,after,after,50.309999,50.599999,,in,in,in,46.71,46.83
first,first,first,50.599999,51.069999,,time.,time,time,46.83,47.21
recess.,recess,recess,51.07,51.66,,They,They,they,47.929999,48.089999
Kids,Kids,kids,52.049999,52.299999,,all,all,all,48.09,48.21
were,were,were,52.299999,52.449999,,had,had,had,48.21,48.38
still,still,still,52.449999,52.679999,,no,no,no,48.38,48.69
getting,getting,getting,52.68,52.92,,idea,idea,idea,48.69,49.19
drinks,drinks,drinks,52.92,53.23,,what,what,what,49.2,49.34
from,from,from,53.23,53.38,,he,he,he,49.34,49.42
the,the,the,53.379999,53.469999,,was,was,was,49.42,49.57
drinking,drinking,drinking,53.469999,53.839999,,talking,talking,talking,49.57,49.89
fountain,fountain,,53.89,54.36,,about.,about,about,49.889999,50.149999
and,and,and,54.5,54.68,,Lyra,Lyra,<unk>,50.96,51.1
grabbing,grabbing,grabbing,54.68,55.01,,and,and,and,51.28,51.41
their,their,their,55.01,55.16,,Tully,Tully,tully,51.57,51.73
English,English,english,55.19,55.6,,raised,raised,raised,51.73,51.99
books,books,books,55.6,55.9,,their,their,their,51.99,52.12
out,out,out,55.91,56.05,,eyebrows,eyebrows,eyebrows,52.15,52.64
of,of,of,56.05,56.18,,at,at,at,52.639999,52.729999
their,their,their,56.18,56.33,,each,each,each,52.73,52.91
lockers.,lockers,lockers,56.33,56.89,,other.,other,other,52.91,53.26
Tully,Tully,tully,57.68,58.01,,Huh?,Huh,huh,53.940001,54.480001
handed,handed,handed,58.01,58.34,,Alex,Alex,alex,54.82,55.11
the,the,the,58.34,58.47,,said.,said,said,55.11,55.39
invitations,invitations,invitations,58.47,59.18,,"Oh,",Oh,oh,55.98,56.28
to,to,to,59.18,59.33,,sorry.,sorry,sorry,56.62,57.1
her,her,her,59.33,59.49,,Gravid,Gravid,<unk>,57.8,57.9
four,four,four,59.49,59.87,,means,means,means,57.93,58.3
best,best,best,59.89,60.18,,pregnant!,pregnant,pregnant,58.36,58.99
friends:,friends,friends,60.18,60.6,,Coco,Coco,coco,59.36,59.71
"Lyra,",Lyra,<unk>,61.06,61.63,,is,is,is,59.73,59.85
"Caleb,",Caleb,caleb,61.82,62.35,,going,going,going,59.86,60.09
"Rocket,",Rocket,rocket,62.52,63.02,,to,to,to,60.09,60.18
and,and,and,63.11,63.34,,be,be,be,60.19,60.33
Alex.,Alex,alex,63.36,63.95,,a,a,a,60.33,60.38
The,The,the,64.63,64.78,,"mother,",mother,mother,60.38,60.85
five,five,five,64.78,65.06,,Mr,Mr,mr,61.38,61.67
of,of,of,65.059999,65.239999,,Hornswoggle,Hornswoggle,<unk>,62.23,62.24
them,them,them,65.24,65.52,,explained.,explained,explained,62.24,62.74
were,were,were,65.639999,65.759999,,What?,What,what,63.28,63.71
the,the,the,65.759999,65.849999,,Tully,Tully,tully,64.45,64.76
members,members,members,65.849999,66.249999,,nearly,nearly,nearly,64.76,65.12
of,of,of,66.27,66.43,,shouted.,shouted,shouted,65.13,65.8
the,the,the,66.429999,66.519999,,But,But,but,66.259999,66.379999
Gumshoe,Gumshoe,<unk>,66.99,67,,Coco,Coco,coco,66.41,66.7
gang.,gang,gang,67,67.38,,is,is,is,66.8,66.836
A,A,a,67.98,68.1,,a,a,a,66.84,66.94
gumshoe,gumshoe,<unk>,68.74,68.75,,boy!,boy,boy,66.95,67.44
is,is,is,68.799999,68.969999,,Mr,Mr,mr,67.889999,68.199999
a,a,a,68.969999,69.029999,,Hornswoggle,Hornswoggle,<unk>,68.63,68.78
detective,detective,detective,69.03,69.56,,laughed.,laughed,laughed,68.78,69.1
who,who,who,69.559999,69.699999,,Everyone,Everyone,everyone,69.67,70.14
cracks,cracks,cracks,69.7,70.15,,says,says,says,70.139999,70.369999
cases.,cases,cases,70.15,70.7,,he,he,he,70.4,70.83
Mr,Mr,mr,71.48,71.78,,and,and,and,70.84,71.05
"Sleuth,",Sleuth,sleuth,71.779999,72.149999,,so,so,so,71.049999,71.379999
the,the,the,72.32,72.43,,I,I,i,71.57,71.7
school,school,school,72.43,72.72,,don't,don't,don't,71.699999,71.889999
"secretary,",secretary,secretary,72.72,73.4,,correct,correct,correct,71.889999,72.239999
gave,gave,gave,73.65,73.92,,"them,",them,them,72.24,72.48
them,them,them,73.92,74.06,,but,but,but,72.86,73.04
that,that,that,74.06,74.23,,he,he,he,73.05,73.51
"nickname,",nickname,nickname,74.23,74.68,,is,is,is,73.56,73.76
since,since,since,74.77,75,,very,very,very,73.76,74.03
they,they,they,75,75.13,,much,much,much,74.03,74.34
solve,solve,solve,75.13,75.4,,a,a,a,74.4,74.48
all,all,all,75.49,75.78,,she.,she,she,74.48,74.93
of,of,of,75.78,75.89,,"But,",But,but,75.71,75.98
the,the,the,75.89,75.98,,"but,",but,but,76.52,76.72
mysteries,mysteries,mysteries,75.99,76.46,,who-,who,who,76.73,77.18
that,that,that,76.46,76.59,,Lyra,Lyra,<unk>,77.72,78.06
occur,occur,occur,76.59,76.88,,"sputtered,",sputtered,sputtered,78.06,78.54
at,at,at,76.88,77.02,,covering,covering,covering,78.66,79.04
Watson,Watson,watson,77.02,77.4,,her,her,her,79.05,79.16
Elementary.,Elementary,elementary,77.4,78.2,,mouth,mouth,mouth,79.16,79.48
Tully,Tully,tully,79.22,79.52,,with,with,with,79.49,79.58
pulled,pulled,pulled,79.52,79.83,,her,her,her,79.58,79.68
the,the,the,79.83,79.92,,hands.,hands,hands,79.68,80.11
last,last,last,79.92,80.24,,Then,Then,then,80.67,80.84
invitation,invitation,invitation,80.24,80.79,,she,she,she,80.84,80.98
from,from,from,80.79,80.95,,"whispered,",whispered,whispered,80.98,81.46
her,her,her,80.95,81.06,,Who,Who,who,82.04,82.23
pocket,pocket,pocket,81.059999,81.469999,,is,is,is,82.23,82.38
and,and,and,81.55,81.72,,Coco's,Coco's,<unk>,82.38,82.74
gave,gave,gave,81.719999,81.909999,,husband?,husband,husband,82.75,83.38
it,it,it,81.91,82.03,,Mr,Mr,mr,84.25,84.55
to,to,to,82.03,82.15,,Hornswoggle,Hornswoggle,<unk>,85.09,85.1
Lyra.,Lyra,<unk>,82.15,82.55,,chuckled,chuckled,chuckled,85.11,85.45
"Oh,",Oh,oh,83.309999,83.539999,,again.,again,again,85.45,85.82
thank,thank,thank,83.71,84.06,,It,It,it,86.49,86.62
you!,you,you,84.059999,84.359999,,is,is,is,86.62,86.73
Lyra,Lyra,<unk>,84.7,84.81,,a,a,a,86.73,86.8
said.,said,said,84.82,85.15,,strange,strange,strange,86.799999,87.229999
When,When,,85.76,85.889999,,fact,fact,fact,87.24,87.53
is,is,is,85.889999,86.049999,,about,about,about,87.54,87.81
the,the,the,86.049999,86.179999,,"turtles,",turtles,turtles,87.809999,88.249999
party?,party,party,86.179999,86.749999,,but,but,but,88.58,88.76
Caleb,Caleb,caleb,86.849999,87.229999,,some,some,some,88.76,89.04
"asked,",asked,asked,87.23,87.54,,females,females,females,89.039999,89.479999
squinting,squinting,squinting,87.559999,88.089999,,can,can,can,89.48,89.64
at,at,at,88.09,88.22,,lay,lay,lay,89.639999,89.789999
the,the,the,88.219999,88.339999,,a,a,a,89.789999,89.859999
invitation.,invitation,invitation,88.34,89.03,,clutch,clutch,clutch,89.859999,90.139999
These,These,these,89.449999,89.699999,,of,of,of,90.139999,90.289999
letters,letters,letters,89.699999,90.049999,,eggs,eggs,eggs,90.29,90.58
are,are,are,90.049999,90.149999,,years,years,years,90.6,91.1
so,so,so,90.15,90.48,,after,after,after,91.1,91.37
squiggly,squiggly,,90.474,91.096,,mating.,mating,mating,91.37,91.77
I,I,i,91.16,91.32,,Coco,Coco,coco,92.58,92.91
can't,can't,can't,91.32,91.6,,used,used,used,92.91,93.14
even,even,even,91.6,91.87,,to,to,to,93.14,93.22
read,read,read,91.87,92.08,,have,have,have,93.22,93.43
it!,it,it,92.08,92.29,,a,a,a,93.43,93.47
It's,It's,it's,93.05,93.23,,"mate,",mate,mate,93.47,93.78
called,called,called,93.23,93.48,,but,but,but,94.3,94.45
"cursive,",cursive,<unk>,93.79,94.04,,he,he,he,94.45,94.53
silly.,silly,silly,94.05,94.57,,passed,passed,passed,94.53,94.84
And,And,and,94.9,95.05,,away,away,away,94.84,95.11
the,the,the,95.05,95.12,,quite,quite,quite,95.11,95.37
party,party,party,95.12,95.39,,a,a,a,95.37,95.42
is,is,is,95.39,95.58,,while,while,while,95.42,95.7
this,this,this,95.58,95.77,,ago.,ago,ago,95.7,96.07
Sunday.,Sunday,sunday,95.77,96.33,,Holy,Holy,holy,96.92,97.37
That's,That's,that's,96.55,96.79,,"moly,",moly,moly,97.37,97.92
five,five,five,96.79,97.05,,Lyra,Lyra,<unk>,97.93,98.24
days,days,days,97.05,97.26,,said.,said,said,98.24,98.57
away.,away,away,97.26,97.63,,"Wow,",Wow,wow,98.98,99.37
I'll,I'll,i'll,98.3,98.48,,Mr,Mr,mr,99.37,99.7
ask,ask,ask,98.48,98.69,,Hornswoggle!,Hornswoggle,<unk>,99.7,99.97
my,my,my,98.69,98.82,,Caleb,Caleb,caleb,100.54,100.9
mom,mom,mom,98.82,99.09,,said.,said,said,100.9,101.21
as,as,as,99.09,99.2,,You,You,you,101.48,101.64
soon,soon,soon,99.2,99.42,,are,are,are,101.639999,101.719999
as,as,as,99.42,99.54,,like,like,like,101.719999,101.889999
I,I,i,99.54,99.62,,an,an,an,101.889999,102.029999
get,get,get,99.63,99.82,,empty,empty,empty,102.05,102.45
"home,",home,home,99.83,100.36,,well,well,well,102.45,102.76
Alex,Alex,alex,100.469999,100.819999,,of,of,of,102.759999,102.889999
"said,",said,said,100.82,101.18,,knowledge!,knowledge,knowledge,102.889999,103.609999
pushing,pushing,pushing,101.3,101.64,,He,He,he,104.4,104.6
on,on,on,101.639999,101.749999,,means,means,means,104.599999,104.829999
his,his,his,101.75,101.85,,that,that,that,104.83,104.95
glasses.,glasses,glasses,101.87,102.44,,as,as,as,104.95,105.09
Will,Will,will,103.08,103.22,,a,a,a,105.089999,105.139999
there,there,there,103.219999,103.359999,,"compliment,",compliment,compliment,105.139999,105.729999
be,be,be,103.36,103.54,,said,said,said,105.99,106.18
anything,anything,anything,103.559999,103.999999,,Alex.,Alex,alex,106.18,106.62
related,related,related,104,104.46,,Tully,Tully,tully,108,108.24
to,to,to,104.469999,104.909999,,quickly,quickly,quickly,108.24,108.59
aliens,aliens,aliens,104.969999,105.549999,,pulled,pulled,pulled,108.59,108.85
there?,there,there,105.549999,105.999999,,out,out,out,108.85,108.94
Rocket,Rocket,rocket,106.5,106.87,,her,her,her,108.95,109.05
asked.,asked,asked,106.91,107.29,,notebook,notebook,notebook,109.05,109.45
Like,Like,like,107.85,108.01,,from,from,from,109.459999,109.639999
an,an,an,108.01,108.13,,her,her,her,109.64,109.74
alien,alien,alien,108.14,108.52,,back,back,back,109.74,109.98
spaceship,spaceship,spaceship,108.529999,109.149999,,pocket.,pocket,pocket,109.98,110.39
pinata,pinata,<unk>,109.37,109.82,,Mr,Mr,mr,111.33,111.61
Or,Or,or,109.9,110.53,,"Hornswoggle,",Hornswoggle,<unk>,111.61,112.28
a,a,a,110.79,110.92,,do,do,do,112.56,112.63
green,green,green,110.92,111.23,,you,you,you,112.63,112.73
Planet,Planet,planet,111.23,111.58,,have,have,have,112.75,173.92
Moog,Moog,<unk>,111.58,111.83,,any,any,any,112.93,113.21
cake?,cake,cake,111.96,112.4,,idea,idea,idea,113.21,113.61
Rocket's,'Rocket's,<unk>,113.59,113.65,,who,who,who,113.62,113.74
real,real,real,113.67,113.89,,would,would,would,113.74,113.86
name,name,name,113.89,114.12,,want,want,want,113.86,114.04
was,was,was,114.12,114.27,,to,to,to,114.05,114.17
Ronald,Ronald,ronald,114.27,114.59,,snatch,snatch,snatch,114.17,114.5
"Gonzaga,",Gonzaga,<unk>,114.77,115.17,,a,a,a,114.5,114.56
but,but,but,115.49,115.72,,turtle?,turtle,turtle,114.56,115.03
everybody,everybody,everybody,115.79,116.39,,"Hmmm,",Hmmm,<unk>,115.98,116.54
called,called,called,116.389999,116.649999,,not,not,not,117.139999,117.379999
him,him,him,116.65,116.84,,really!,really,really,117.389999,117.829999
Rocket,Rocket,rocket,116.84,117.31,,he,he,he,117.84,118.02
because,because,because,117.52,117.82,,said.,said,said,118.03,118.37
he,he,he,117.82,117.93,,He,He,he,118.95,119.11
could,could,could,117.929999,118.059999,,took,took,took,119.11,119.29
beat,beat,beat,118.07,118.24,,off,off,off,119.29,119.43
almost,almost,almost,118.27,118.6,,his,his,his,119.429999,119.569999
anybody,anybody,anybody,118.65,119.2,,glasses,glasses,glasses,119.58,120.1
in,in,in,119.2,119.31,,and,and,and,120.13,120.3
a,a,a,119.309999,119.409999,,started,started,started,120.3,120.6
race.,race,race,119.41,119.92,,polishing,polishing,polishing,120.599999,121.089999
"No,",No,no,120.71,121.12,,them,them,them,121.09,121.28
Rocket.,Rocket,rocket,121.12,121.77,,with,with,with,121.28,121.39
This,This,this,121.83,122.03,,his,his,his,121.389999,121.569999
is,is,is,122.03,122.18,,vest.,vest,vest,121.57,121.99
my,my,my,122.19,122.49,,Coco,Coco,coco,122.9,123.24
"birthday,",birthday,birthday,122.49,123.08,,is,is,,123.27,123.36
not,not,not,123.099999,123.349999,,a,a,,123.38,123.52
yours.,yours,yours,123.349999,124.059999,,Cagle's,Cagle's,<unk>,123.61,123.9
Tully,Tully,tully,124.59,124.71,,Map,Map,map,123.91,124.15
said.,said,said,124.709999,125.079999,,"turtle,",turtle,turtle,124.15,124.61
Even,Even,even,125.77,126.06,,which,which,which,124.779999,125.189999
though,though,though,126.059999,126.219999,,is,is,is,125.25,125.49
Tully,Tully,tully,126.43,126.56,,pretty,pretty,pretty,125.49,125.82
was,was,was,126.56,126.76,,rare.,rare,rare,125.82,126.26
planning,planning,planning,126.76,127.08,,They,They,they,126.92,127.09
an,an,an,127.08,127.22,,are,are,are,127.09,127.18
elegant,elegant,elegant,127.28,127.69,,only,only,only,127.18,127.47
dress-up,dress-up,dress-up,127.7,128.1,,found,found,found,127.47,127.82
"party,",party,party,128.1,128.54,,in,in,in,127.82,127.91
she,she,she,128.86,129.05,,a,a,a,127.91,127.98
wanted,wanted,wanted,129.05,129.39,,certain,certain,certain,127.98,128.32
to,to,to,129.39,129.51,,river,river,river,128.32,128.59
invite,invite,invite,129.51,129.83,,in,in,in,128.59,128.71
all,all,all,129.92,130.21,,Texas.,Texas,texas,128.71,129.26
the,the,the,130.22,130.34,,And,And,and,129.53,129.7
boys,boys,boys,130.34,130.72,,she,she,she,129.7,129.92
in,in,in,130.73,130.82,,is,is,is,129.92,130.05
the,the,the,130.82,130.92,,a,a,a,130.05,130.12
class,class,class,130.92,131.31,,very,very,very,130.12,130.6
too.,too,too,131.34,131.72,,beautiful,beautiful,beautiful,130.61,131.04
Just,'Just,<unk>,133.24,133.25,,turtle,turtle,turtle,131.04,131.48
then,then,then,133.59,133.93,,with,with,with,131.63,131.8
the,the,the,133.95,134.1,,all,all,all,131.81,131.99
"teacher,",teacher,teacher,134.12,134.65,,of,of,of,131.99,132.07
